#Parameters = {ct=0.035; endl=1.5; gt=1; p=15; phi=0; pl=10; pw=1; s=1.57; st=1.57; th=0.5; theta=0; vt=5}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (1) [Phase in Degrees]"
#-----------------------------------------------------------
#Parameters = {ct=0.035; endl=1.5; gt=1; p=15; phi=0; pl=1; pw=1; s=1.57; st=1.57; th=0.5; theta=0; vt=5}
#"Frequency / GHz"	"SZmax(1),Zmax(1) (2) [Phase in Degrees]"
#-----------------------------------------------------------
2.0000000000000	133.22921424846
2.1000000000000	130.73110577746
2.2000000000000	128.20523998885
2.3000000000000	125.65036962606
2.4000000000000	123.06520573738
2.5000000000000	120.44841896043
2.6000000000000	117.79864118082
2.7000000000000	115.11446762205
2.8000000000000	112.39445942945
2.9000000000000	109.63714681709
3.0000000000000	106.84103285285
3.1000000000000	104.00459796276
3.2000000000000	101.12630524136
3.3000000000000	98.204606659393
3.4000000000000	95.237950264348
3.5000000000000	92.224788471279
3.6000000000000	89.163587541750
3.7000000000000	86.052838346268
